"","id","POP_ADMIN","lon","lat"
"1","Anhui",62255730,117.184330062703,31.921413284474
"2","Beijing",11989330,116.517772741368,40.1232463100702
"3","Fujian",33297370,118.550819792818,25.9070494527874
"4","Gansu",24790140,102.361774014497,37.1274067569365
"5","Guangdong",69623060,112.981338650842,22.6754257669614
"6","Guangxi",46813840,108.521328290055,23.787517533559
"7","Guizhou",35893540,106.726566124983,27.0683412371381
"8","Hainan",7266549,109.816913156923,19.2334345068826
"9","Hebei",67687330,116.25124558282,39.61343273092
"10","Heilongjiang",39022690,127.271246126807,48.5808235190605
"11","Henan",94755800,114.387599713175,33.958903827328
"12","Hong Kong",5805318,114.138963719368,22.3451516203158
"13","Hubei",59804980,112.099745193278,30.7743258480098
"14","Hunan",67218970,111.858335881108,27.3639408583585
"15","Jiangsu",74307460,119.251997591586,32.9790114206291
"16","Jiangxi",41787940,115.600891950808,27.513802932316
"17","Jilin",27325100,126.392298149152,43.84083666788
"18","Liaoning",43726540,121.92437022803,41.184882805663
"19","Nei Mongol",23776920,114.785142610144,44.0691379914817
"20","Ningxia",5158847,106.084253451385,37.3743624996104
"21","Qinghai",4938862,96.5846824644197,35.4529360387314
"22","Shaanxi",36437990,108.826574819635,35.1274868218621
"23","Shandong",93518330,118.488434195957,36.2916126367148
"24","Shanghai",14784580,121.487266357665,31.266243620479
"25","Shanxi",31868720,112.588514076407,38.1692380921781
"26","Sichuan",118811800,104.034685615374,30.2391595161879
"27","Tianjin",9735383,117.30002549095,39.4144067892308
"28","Xinjiang",16794560,84.0339908419657,40.9941733331888
"29","Xizang",2433427,88.73272478085,31.5439952324573
"30","Yunnan",40970460,101.761600596317,25.6137855653244
"31","Zhejiang",45927530,120.789517475267,29.3275013941998
